Keyword,Assigned Category
Beef and Ostrich Snack Stick,Cured meats
Beef Steak Strip,Cold cuts
Black Sesame Seeds,Nuts and seeds
Wagyu Beef Steak Strip,"Beef, excludes ground"
Corn Mix,"Tortilla, corn, other chips"
Fig Preserves,Toppings
Dirty Rice Mix,Rice mixed dishes
Thin Pepper Beef Jerky,Cured meats
Pepperoni Sticks,Cured meats
Turkey Snack Sticks,Cured meats
Pork Snack Bites,Cured meats
Kimchi,Other vegetables and combinations
Beef Bouillon,Soups
Sausage Sticks,Sausages
Fruit Jerky,Dried fruits
Rainbow Colored Popcorn,Popcorn
Beef and Elk Snack Stick,Cured meats
Bacon Cheddar Snack,Cured meats
Pad Thai Noodle Bowl,Stir-fry
Mango and Peach Nectar,Other fruit juice
Salmon Jerky,Fish
Snack Stick,Cured meats
Beef Jerky Chew,Cured meats
Salmon Bites,Fish
Jerky Snack Care Package,Cured meats
Roux,Gravies
Slim Jim Snacks,Cured meats
Brown Sugar,Sugars and honey
Oat Bran Snack Sticks,Pretzels/snack mix
Summer Sausage Kit,Sausages
Movie Night Gift Set,Popcorn
Fried Plantains,Fried vegetables
Seaweed Sheets,Other Mexican mixed dishes
Lettuce Wraps Sauce,Soy-based sauce mixtures
Keto Tortilla,Tortillas
Pad Thai Noodle Kit,Stir-fry
Dill Pickle Seasoning,Pickles
Jalapeno Sauce,Other sauces
Pad Thai Sauce,"Pasta sauces, tomato-based"
Caramel Coated Popcorn and Peanuts,Popcorn
Popcorn Packs,Popcorn
Red Beans and Rice Mix,Rice mixed dishes
Bone Broth Powder,Protein and nutritional powders
Teriyaki Sticks,Cured meats
Turkey Snacks,Deli and cured meat sandwiches
Zebra Popcorn,Popcorn
Microwave Popper,Popcorn
Steakhouse Marinade,Other sauces
Cracker Jacks,Pretzels/snack mix
Corn Husks,Other vegetables and combinations
Buttered Popcorn,Popcorn
Honey Snack Sticks,Toppings
Caramel Popcorn Clusters,Popcorn
Popcorn Mix,Popcorn
Thin Original Beef Jerky,Cured meats
Hearts of Palm,Other vegetables and combinations
"""Cheesiness"" Popcorn",Popcorn
Beef Jerky and Meat Sticks,Cured meats
Vegetable Pho Soup Noodle Bowl,Soups
Popcorn Gift Set,Popcorn
Beef Jerky Seasoning Kit,Meat mixed dishes
Machaca de Res,Meat mixed dishes
White Popcorn Salt,Popcorn
Colored Popcorn,Popcorn
Chipotle Hot Sauce,Tomato-based condiments
Popcorn Portion Packs,Popcorn
Cayenne Pepper Sauce,Tomato-based condiments
Energy Bars,Nutrition bars
Green Curry Paste,Other sauces
Cheddar Cheese Popcorn,Popcorn
Peach Rings,Candy not containing chocolate
Freeze Dried Biscuits,"Biscuits, muffins, quick breads"
Skinny Pop,Popcorn
Blue Raspberry Popcorn,Popcorn
Mozzarella Snack Sticks,Cheese
White Hominy,Other vegetables and combinations
Chow Mein Noodle Kit,Stir-fry
Smoked Oysters,Shellfish
Sriracha Chili Sauce,Tomato-based condiments
Alaska Chip Popcorn,Popcorn
Yellow Rice & Red Beans,Rice mixed dishes
Pepper Beef Jerky,Cured meats
Brownie Crunch Popcorn,Popcorn
Artichoke Hearts,Other vegetables and combinations
Cinnamon Powder,Spices
Aged White Cheddar Popcorn,Popcorn
Strawberry Cookie Bar,Cookies and brownies
Macadamia Popcorn Crunch,Popcorn
Beef Smokies Sticks,Cured meats
Pepperoni Stick,Cured meats
Nacho Cheese Popcorn,Popcorn
Purple Popcorn Kernels,Popcorn
White Cheddar Cheese Popcorn,Popcorn
Macadamia Popcorn,Popcorn
Yellow Corn Meal,Other cooked cereals
Teriyaki Meat Snacks,Deli and cured meat sandwiches
Chia Seed,Nuts and seeds
Beignet,"Doughnuts, sweet rolls, pastries"
Cotton Candy Flavored Popcorn,Popcorn
Instant Noodles,Noodles
MacroBar,Nutrition bars
Chicken Protein Snack,Cold cuts
Popcorn Gift Pack,Popcorn
Beef and Cheese Combo Pack,Cured meats
Cheese and Caramel Mix,Popcorn
Rice and Pigeon Peas,Rice mixed dishes
Star Anise,Spices
Mushroom Popcorn Kernels,Popcorn
Instant Miso Soup,Soy-based sauce mixtures
Butter Toffee Popcorn,Popcorn
Poppycock,Popcorn
Jalapeno & Cheddar Popcorn,Popcorn
Thai Ribbon Noodles,Stir-fry
Sriracha Mayo Dynamite Hot Sauce,Tomato-based condiments
Tostados,"Tortilla, corn, other chips"
Popcorn Popper Machine,Popcorn
Microwavable Corn,Other vegetables and combinations
Caramel Corn Popcorn,Popcorn
Turkey Jerky Bites,Cured meats
Boiled Crawfish,Shellfish
Matzo Ball and Soup Mix,Soups
Air-Dried Beef Snack,Cured meats
Kettle Corn Snacks,Popcorn
Hawaiian Marinade,Other sauces
Sesame Seed,Nuts and seeds
White Chocolate Popcorn,Popcorn
Rainbow Popcorn Kernels,Popcorn
Turkey Snack Stick,Cured meats
Sweet Corn Popcorn,Popcorn
Ripe Plantains,Other fruits and fruit salads
Chocolate Peanut Butter Pretzel,Pretzels/snack mix
Burrito Tortillas,Tortillas
Skinny Pop Popcorn,Popcorn
Cheddar Cheese Pretzel Crisps,Pretzels/snack mix
Pretzel Splits,Pretzels/snack mix
Hot & Sour Soup Mix,Soups
Dark Chocolate Pretzel,Candy containing chocolate
Popcorn Seasoning Variety Pack,Popcorn
Pizzeria Pretzel,Pretzels/snack mix
Pepper Sticks,Cured meats
Lemon Curd,Toppings
Millet & Brown Rice Ramen,Rice mixed dishes
Tomato Bruschetta,"Pasta sauces, tomato-based"
Larabar,Nutrition bars
Pretzel Rings,Pretzels/snack mix
Cheese and Caramel Popcorn Mix,Popcorn
Popcorn Packets,Popcorn
KIND Bars,Nutrition bars
Fidelini/Fideos,Pasta
Pink Himalayan Salt,Saltine crackers
Popping Corn,Popcorn
Bacon Seasoning,Bacon
Lobster Ramen Noodle Soup,"Pasta mixed dishes, excludes macaroni and cheese"
Pretzel Stix,Pretzels/snack mix
Jerky Cannon,Meat mixed dishes
Peanut Butter Filled Pretzel Nuggets,Pretzels/snack mix
Garlic & Herb Pretzels,Pretzels/snack mix
Wagyu Beef Steak Strips,"Beef, excludes ground"
King Cake Popcorn,Popcorn
Almond Butter Filled Pretzels,Pretzels/snack mix
Ghee Popcorn,Popcorn
Pizzeria Pretzel Combos,Pretzels/snack mix
Buffalo Blue Cheese Pretzel Combos,Pretzels/snack mix
Cheddar Cheese Pretzel Snacks,Pretzels/snack mix
Buffalo Pretzel Twists,Pretzels/snack mix
Reduced Sodium Soy Sauce,Soy-based condiments
Chicken Marinade,Poultry mixed dishes
Thin Mints Pretzels,Pretzels/snack mix
Nacho Cheese Pretzel Twists,Pretzels/snack mix
Caramel Popcorn with Mixed Nuts,Popcorn
Spicy Ranch Pretzels,Pretzels/snack mix
Popcorn Supply Kits,Popcorn
Peanut Butter Pretzel,Pretzels/snack mix
Wakame Seaweed,Other fruits and fruit salads
Yogurt Pretzels,Pretzels/snack mix
Peanut Butter Filled Pretzels,Pretzels/snack mix
Vegan Ramen Noodle Soup,Rice mixed dishes
Pretzel Snack,Pretzels/snack mix
Voodoo Pretzel Stix,Pretzels/snack mix
Pretzel Shells,Pretzels/snack mix
Cheddar Cheese Pretzel Combos,Pretzels/snack mix
Baked Pretzel Snacks,Pretzels/snack mix
Peach Nectar,Other fruit juice
White Fudge Pretzels,Pretzels/snack mix
Extra Dark Pretzels,Pretzels/snack mix
SkinnyPop Popcorn,Popcorn
Soft Pretzel Kit,Pretzels/snack mix
Sourdough Pretzel,Pretzels/snack mix
Jerky Spice Works,Meat mixed dishes
Gluten Free Pretzel Sticks,Pretzels/snack mix
Guajillo,Spices
Dill Pickle Popcorn,Popcorn
Dill Pickle Pretzels,Pretzels/snack mix
Honey-Caramel Popcorn,Popcorn
Gluten-Free Soft Pretzels,Pretzels/snack mix
White Christmas Tree Pretzels,Pretzels/snack mix
Yogurt Coated Pretzels,Pretzels/snack mix
Caramel Moose Munch,Popcorn
Meat Stick Sampler,Cured meats
Fudge Dipped Pretzel Rods,Pretzels/snack mix
Honey Mustard Pretzel Stix,Pretzels/snack mix
Rainbow Popcorn,Popcorn
Gluten-Free Pretzel Pieces,Pretzels/snack mix
Flamin Hot Cheetos Pretzel,Pretzels/snack mix
Beef Snack Strips,Cured meats
Chocolate Pretzel Twists,Pretzels/snack mix
Whole Grain Pretzel Goldfish,Pretzels/snack mix
Halloween Pretzels,Pretzels/snack mix
Microwavable Popping Corn,Popcorn
Mini Pretzel Rounds,Pretzels/snack mix
Light Butter Popcorn,Popcorn
Pretzel Loops,Pretzels/snack mix
Pretzel Mix,Pretzels/snack mix
Gluten-Free Pretzel Rods,Pretzels/snack mix
Holiday Shaped Pretzels,Pretzels/snack mix
Cinnamon Sugar Pretzel Twists,Pretzels/snack mix
Chocolate Pretzel Crisps,Pretzels/snack mix
Extra Salt Pretzel Splits,Pretzels/snack mix
Mini-Unsalted Pretzel,Pretzels/snack mix
Combos Variety Pack,Pretzels/snack mix
Mustard Pretzel Snacks,Pretzels/snack mix
Mini Twist Pretzels,Pretzels/snack mix
Milk Chocolate Covered Pretzels,Pretzels/snack mix
Movie Theater Popcorn,Popcorn
Pretzel Barrels,Pretzels/snack mix
Honey Mustard Pretzel Sticks,Pretzels/snack mix
Original Pretzels,Pretzels/snack mix
Milk Chocolate Pretzels,Pretzels/snack mix
Jambalaya Rice Mix,Rice mixed dishes
Dark Chocolate Pretzel Crisps,Pretzels/snack mix
Venison Bar,Meat mixed dishes
Chimichurri Steak Sauce,Other sauces
Ghost Pepper Salt,Saltine crackers
Ramen with Miso Soup,Rice mixed dishes
Churro Bags,Turnovers and other grain-based items
Baked Pretzels,Pretzels/snack mix
Pretzel Rounds,Pretzels/snack mix
Cookies N Creme Pretzels,Pretzels/snack mix
Cauliflower Pretzel Sticks,Pretzels/snack mix
Pretzel O's,Pretzels/snack mix
Pumpernickel Pretzels,Pretzels/snack mix
Bacon Popcorn Seasoning,Popcorn
Cinnamon Sugar Pretzel Crisps,Pretzels/snack mix
Garlic Parmesan Pretzel Sticks,Pretzels/snack mix
Vanilla Yogurt Pretzels,Pretzels/snack mix
Pretzel Nuggets,Pretzels/snack mix
Buffalo Blue Cheese Pretzel Snacks,Pretzels/snack mix
Spelt Pretzels,Pretzels/snack mix
Baked Snack Sticks,Pretzels/snack mix
Dill Pickle Pretzel Sticks,Pretzels/snack mix
Gluten-Free Pretzel Twists,Pretzels/snack mix
Cheese Pretzels,Pretzels/snack mix
Peppered Beef Jerky,Cured meats
Popping Kit,Popcorn
Handmade Pretzels,Pretzels/snack mix
Honey Mustard Pretzel Crisps Bites,Pretzels/snack mix
Sprouted Pretzels,Pretzels/snack mix
Pumpkin Spiced Pretzels,Pretzels/snack mix
Gluten-Free Pretzel Party Mix,Pretzels/snack mix
Kettlecorn,Popcorn
Cheddar Pretzel Combos,Pretzels/snack mix
Churro Popcorn,Popcorn
Pretzel Sticks Variety Pack,Pretzels/snack mix
Jerky Chew,Cured meats
Teriyaki Steak Strip,Cold cuts
Beef Steak Bars,Cured meats
Butter Flavored Pretzels,Pretzels/snack mix
Pumpkin Spice Yogurt Pretzels,Pretzels/snack mix
Gourmet Popcorn Snack,Popcorn
Buttermilk Ranch Pretzel Pieces,Pretzels/snack mix
Caramel Nut Popcorn,Popcorn
Cinnamon Sugar Pretzel Sticks,Pretzels/snack mix
Chocolate Pretzels Grahams,Pretzels/snack mix
Blue Popcorn Kernels,Popcorn
Butter Waffles Pretzels,Pretzels/snack mix
Teriyaki Beef Steak,Cold cuts
Peanut Butter Pretzel Snack,Pretzels/snack mix
Chocolate Pretzel Dips,Pretzels/snack mix
Peanut Butter Pretzel Bites,Pretzels/snack mix
Pretzel,Pretzels/snack mix
Multi Grain Pretzels,Pretzels/snack mix
Butter Snaps,Pretzels/snack mix
Red Kernel Popcorn,Popcorn
Moose Munch Popcorn,Popcorn
Peanut Butter Dipped Pretzels,Pretzels/snack mix
Beef and Cheese Stick,Cured meats
Popcorn Ceiling Texture,Popcorn
Pretzel Grahams,Pretzels/snack mix
Thin Twists,Pretzels/snack mix
Smart Pop,Popcorn
Milk Chocolate Pretzel Ball,Pretzels/snack mix
Pretzel Refill Pack,Pretzels/snack mix
Hot Cheese Popcorn,Popcorn
Italian Pretzels,Pretzels/snack mix
Mustard Pretzel Snack Mix,Pretzels/snack mix
Half Naked Popcorn,Popcorn
Sourdough Pretzel Nibblers,Pretzels/snack mix
Baked Pretzel Snack,Pretzels/snack mix
Oat Bran Pretzels,Pretzels/snack mix
White Chocolate Covered Pretzels,Pretzels/snack mix
Popcorn Seeds,Popcorn
Fat Free Pretzel Loops,Pretzels/snack mix
Popcorn Snack Variety Pack,Popcorn
Cheddar Cheese Pretzel,Pretzels/snack mix
Extra Dark Pretzel Splits,Pretzels/snack mix
Cookies 'n' Creme Pretzels,Pretzels/snack mix
Butter Twist Pretzels,Pretzels/snack mix
Gluten-Free Pretzel,Pretzels/snack mix
Pumpkin Spice Pretzels,Pretzels/snack mix
Cheese Dip Pretzels,Pretzels/snack mix
Popcorn Powder,Popcorn
Popcorn with Cashews,Popcorn
Jalapeno Cheddar Pretzels,Pretzels/snack mix
Kettlecorn Microwave Popcorn,Popcorn
Black Popcorn Kernels,Popcorn
Popcorn Oil,Other sauces
Garlic Parmesan Pretzel Pieces,Pretzels/snack mix
Sun Dried Peaches,Dried fruits
Sourdough Craft Beer Rings,Pretzels/snack mix
Hard Pretzels,Pretzels/snack mix
Chocolate Bars,Candy containing chocolate
Corn Thins,"Tortilla, corn, other chips"
Popcorn Tin,Popcorn
Dill Pickle Popcorn Seasoning,Popcorn
Farmhouse Butter Popcorn,Popcorn
Cheddar Cheese Filled Pretzel,Pretzels/snack mix
Dutch Style Pretzels,Pretzels/snack mix
Sourdough Hard Pretzel,Pretzels/snack mix
Craft Beer Pretzel Rings,Pretzels/snack mix
Pretzel Gems,Pretzels/snack mix
Peanut Butter Pretzel Pieces,Pretzels/snack mix
Gluten Free Pretzel Thins,Pretzels/snack mix
Cookies N Cream Pretzels,Pretzels/snack mix
Beer Cheese Pretzel Sticks,Pretzels/snack mix
Dipped Pretzels,Pretzels/snack mix
Flavored Pretzel Sticks,Pretzels/snack mix
Candy Popcorn,Popcorn
Gluten-Free Pretzel Thins,Pretzels/snack mix
Cheese and Pretzels Variety Pack,Pretzels/snack mix
Chris B's Pretzels,Pretzels/snack mix
Popcorn Set,Popcorn
Gluten-Free Pretzel Stick,Pretzels/snack mix
Caramel & Butter Toffee Popcorn,Popcorn
Pretzel Party Sticks,Pretzels/snack mix
Popcorn Sampler,Popcorn
Southwest Pretzels,Pretzels/snack mix
Apple Rings,Dried fruits
Raspberry Yogurt Pretzels,Pretzels/snack mix
Seasoned Pretzels,Pretzels/snack mix
Cookies' N' Creme Pretzels,Pretzels/snack mix
Boom Chicka Pop,Popcorn
Seasoned Pretzel Pieces,Pretzels/snack mix
BBQ Pretzels,Pretzels/snack mix
Gluten Free Pretzels,Pretzels/snack mix
Pretzel Crisps Bites,Pretzels/snack mix
Pretzel Chocolate,Pretzels/snack mix
Party Pretzels,Pretzels/snack mix
Craisins,Dried fruits
Low Sodium Pretzels,Pretzels/snack mix
Chex Mix,Pretzels/snack mix
Dark Chocolate Pretzel Treat,Pretzels/snack mix
Flamin' Hot Snack Mix,Pretzels/snack mix
Gluten-Free Chocolate Covered Pretzels,Pretzels/snack mix
Pretzels Variety Pack,Pretzels/snack mix
Sourdough Pretzel Thins,Pretzels/snack mix
Oriental Party Mix,Pretzels/snack mix
Cheez-It Snack Mix,Pretzels/snack mix
Mango Cheeks,Dried fruits
Crunch Mix,Pretzels/snack mix
Chocolate Pretzel Snacks,Pretzels/snack mix
Snack Mix Bunnies,Pretzels/snack mix
Spicy Cajun Party Mix,Pretzels/snack mix
Chocolate Pretzel Rounds,Pretzels/snack mix
Snacks Variety Box,Pretzels/snack mix
Yogurt Dipped Pretzels,Pretzels/snack mix
Wasabi Trail Snack Mix,Pretzels/snack mix
Multigrain Pretzels,Pretzels/snack mix
Gluten-Free Pretzel Variety Pack,Pretzels/snack mix
Muddy Buddies Snack Mix,Pretzels/snack mix
Mixed Crackers,"Crackers, excludes saltines"
White Cheddar Pretzels,Pretzels/snack mix
Rice Cracker Snack Mix,Pretzels/snack mix
Chipotle Cheddar Snack Mix,Pretzels/snack mix
Freeze Dried Mangoes,Dried fruits
Peppermint Pretzels,Pretzels/snack mix
Honey Roasted Sesame Sticks,Pretzels/snack mix
Honey Mustard & Onion Pretzel Pieces,Pretzels/snack mix
Whole Grain Soft Pretzel,Pretzels/snack mix
Butter Flavored Pretzel Rounds,Pretzels/snack mix
Buffalo Wing Pretzels,Pretzels/snack mix
Savory Snack Mix,Pretzels/snack mix
Falafel Mix,"Bean, pea, legume dishes"
Party Mix Snack,Pretzels/snack mix
Granola Snack Mix,Pretzels/snack mix
Flaming Hot Snack Mix,Pretzels/snack mix
Gluten Free Pretzel Crisps,Pretzels/snack mix
Cookies and Cream Snack Mix,Pretzels/snack mix
Bananitos,Dried fruits
Rice Crackers Mix,Pretzels/snack mix
Muddy Buddies,Pretzels/snack mix
Coconut Chips,Other fruits and fruit salads
Grain Free Pretzels,Pretzels/snack mix
Arachi Mix Snack,Pretzels/snack mix
Flavored Pretzel Splits,Pretzels/snack mix
Poker Mix,Pretzels/snack mix
Sprouted Splits Pretzels,Pretzels/snack mix
Butter Sticks Pretzels,Pretzels/snack mix
Buffalo Wing Pretzel Pieces,Pretzels/snack mix
Crackers and Pretzels Snack Mix,Pretzels/snack mix
Peppercorn Ranch Snack,Pretzels/snack mix
Sea Salt Pretzels,Pretzels/snack mix
California Prunes,Dried fruits
Regular Pretzels,Pretzels/snack mix
Flamin Hot Snack Mix,Pretzels/snack mix
Honey Wheat Braided Twists,Pretzels/snack mix
Gourmet Pretzel Sticks,Pretzels/snack mix
Chocolate Turtle Snack Mix,Pretzels/snack mix
Cinnamon Honey Pretzels Grahams,Pretzels/snack mix
Khatta Meetha Namkeen,Pretzels/snack mix
Original Snack Mix,Pretzels/snack mix
Turtle Snack Mix,Pretzels/snack mix
Italian Cheese Blend,Pretzels/snack mix
Cajun Snack Mix,Pretzels/snack mix
Snack Mix Variety,Pretzels/snack mix
Cheesy Pizza Snack Mix,Pretzels/snack mix
Chocolate Pretzel Dip,Pretzels/snack mix
Taco Snack Mix,Pretzels/snack mix
Pretzel Hards,Pretzels/snack mix
Tokyo Mix,Pretzels/snack mix
Butter Flavor Pretzels,Pretzels/snack mix
Penn Dutch Pretzels,Pretzels/snack mix
Gluten Free Pretzel,Pretzels/snack mix
Voodoo Pretzels,Pretzels/snack mix
Spicy Snack Mix,Pretzels/snack mix
Puffzels,Pretzels/snack mix
S'mores Snack Mix,Pretzels/snack mix
Cracker Snack Mix,Pretzels/snack mix
White Chocolate Dipped Pretzel,Pretzels/snack mix
Nutella & Go,Pretzels/snack mix
Honey BBQ Snack Mix,Pretzels/snack mix
Pretzel Dippers Mix,Turnovers and other grain-based items
Rice Snack Mix,Pretzels/snack mix
Mini Pretzel,Pretzels/snack mix
Gardettos Italian Cheese,"Tortilla, corn, other chips"
Smoky Cheddar Bacon Pretzels,Pretzels/snack mix
Chex Mix Turtle,Pretzels/snack mix
Chex Mix Muddy Buddies,Pretzels/snack mix
Reduced Sodium Pretzels,Pretzels/snack mix
Seasoned Pretzel Snack Sticks,Pretzels/snack mix
Asian Snack Mix,Pretzels/snack mix
Dipped Pretzel Variety Pack,Pretzels/snack mix
Hot & Spicy Rancher's Mix,Pretzels/snack mix
Furikake Chex Mix,Turnovers and other grain-based items
Asian Style Snack Mix,Pretzels/snack mix
Pub Mix Snack Packs,Pretzels/snack mix
Chipotle Cheddar Chips,"Tortilla, corn, other chips"
Pop Rocks,Candy not containing chocolate
Gardettos,Pretzels/snack mix
Fava Beans with Chili and Lime,"Beans, peas, legumes"
Spicy Furikake Chex Mix,Pretzels/snack mix
Beer Mix Snacks,Pretzels/snack mix
Cajun Savory Mix,Pretzels/snack mix
Nacho Taco Snack Mix,Pretzels/snack mix
Bar Mix Snack,Nuts and seeds
Beer Nuts,Nuts and seeds
Mello Crème Mix,Candy not containing chocolate
Tex Mex Snack Mix,Pretzels/snack mix
Original Mix Snacks,Pretzels/snack mix
Mix Namkeens,Pretzels/snack mix
Bombay Mixture,Pretzels/snack mix
Saunf (Fennel Seeds),Spices
Yogurt Snack Mix,Pretzels/snack mix
Chanachur Mixture,Pretzels/snack mix
Cheeseball Mix,Dips
Indian Snack Mix,Pretzels/snack mix
Salty Snacks Mix,Pretzels/snack mix
Cheez It Snack Mix,Pretzels/snack mix
Roasted Vegan Keto Food,Nutrition bars
Dried Pineapple Chunks,Dried fruits
Organic Dried Fruit,Dried fruits
Dry Roasted Sunflower Kernels,Nuts and seeds
Cheddar Party Blend,Pretzels/snack mix
Fruit and Nut Trail Mix,Nutritional beverages
Butter Toffee Cashews,Nuts and seeds
Sriracha Almonds,Nuts and seeds
Roasted Sunflower Seeds,Nuts and seeds
Chex Snack Mix,Pretzels/snack mix
Nuts Variety Pack,Nuts and seeds
Sweet Hot Crunch Mix,Pretzels/snack mix
Whole Cashews,Nuts and seeds
Sprouted Sunflower Seeds,Nuts and seeds
French Burnt Peanuts,Nuts and seeds
Pecan Pieces,Nuts and seeds
Macadamia Nut Pieces,Nuts and seeds
Roasted Pumpkin Seeds,Nuts and seeds
Chipotle Cheddar Gardettos,Pretzels/snack mix
Salt & Pepper Cashews,Nuts and seeds
Blanched Almonds,Nuts and seeds
Roasted Pepitas,Nuts and seeds
Spicy Trail Mix,Nuts and seeds
Granola Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Con Queso Dip,Dips
Baba Ghanoush,Dips
Queso Cups,Dips
Honey Roasted Macadamias,Nuts and seeds
Candied Pecans,Nuts and seeds
Dry Roasted Macadamias,Nuts and seeds
Walnut Halves,Nuts and seeds
Limburger Spread,Cheese
Unsalted Peanuts,Nuts and seeds
Cinnamon Roast Pecan Nut Halves,Nuts and seeds
Sweet 'n Salty Mix,Pretzels/snack mix
Dip Mix Pack,Dips
Beer Cheese Spread,Cheese
Toasted Coconut Almonds,Nuts and seeds
Honey BBQ Chex Mix,Pretzels/snack mix
XTREMES Almonds,Nuts and seeds
Sweet Thai Chili Almonds,Nuts and seeds
Unsalted Cashews,Nuts and seeds
Gluten Free Snack Mix,Pretzels/snack mix
Queso,Dips
Gardetto's,Pretzels/snack mix
Chex Mix Bar,Cereal bars
Chipotle Raspberry Salsa,Dips
Raw Cashews,Nuts and seeds
Shoyu Peanuts,Nuts and seeds
Cheese Dip Cups,Cheese
Guajillo Chiles Pepper,Other Mexican mixed dishes
Ruffles Mega Crunch,"Tortilla, corn, other chips"
Garden Salsa Sunchips,"Tortilla, corn, other chips"
Pico De Gallo Seasoning,Tomato-based condiments
Texas Salsa,Dips
Raw Almonds,Nuts and seeds
Salsa Con Queso Dip,Dips
Peach Salsa,Dips
Pepperoni Pizza Flavored Sunflower Seeds,Nuts and seeds
Garlic Cilantro Salsa,"Pasta sauces, tomato-based"
Heart Healthy Blend,Nuts and seeds
Vegan Cheese Sauce,Milk substitutes
Marshmallow Dip,Dips
Roasted Salsa,Dips
Pumpkin and Sunflower Seeds Mix,Nuts and seeds
White Cheese Dip,Cheese
Caramel Popcorn Toffee,Popcorn
Pistachio Halves,Nuts and seeds
Salsa Tomato Mix,"Pasta sauces, tomato-based"
Honey Mustard Pretzel Snack Mix,Pretzels/snack mix
Cherry Salsa,Dips
Mango Lime Salsa,Dips
Bacon Cheese Spread,Cheese
Ghost Pepper Cheese Spread,Cheese
Protein Snack Mix,Nutrition bars
Apple Salsa,Dips
Port Wine Cheese Spread,Cheese
Cucumber Dill Dip Mix,Dips
Heat Peanuts,Nuts and seeds
Cheese Ball Mix,Cheese
Dill Pickle Salsa,Dips
Peanuts,Nuts and seeds
Pecans,Nuts and seeds
Fruit Salsa,Dips
Salt 'N Vinegar Almonds,Nuts and seeds
Pecan Pralines,Nuts and seeds
Buffalo Wing Sunflower Seeds,Nuts and seeds
Organic Cashews,Nuts and seeds
Dip Combo,Dips
Sweet Chili Pistachios,Nuts and seeds
Sriracha Cashews,Nuts and seeds
Blanched Hazelnuts,Nuts and seeds
California Almonds,Nuts and seeds
Cheesy Bacon Dip Mix,Dips
Butter Toffee Peanuts,Nuts and seeds
Sugar Free Chocolate Chip Cookies,Cookies and brownies
Black Bean Corn Salsa,"Bean, pea, legume dishes"
Honey Roasted Sliced Almonds,Nuts and seeds
Salsa Macha,Other sauces
Mauna Loa,Nuts and seeds
Cinnamon Honey Almonds,Nuts and seeds
Nut Snack Packs,Nuts and seeds
Jalapeno Cheese Sauce,Cheese
Salsa Variety Pack,Dips
Iso Peanuts,Nuts and seeds
Flax Seeds,Nuts and seeds
Skinny Dipped Almonds,Nuts and seeds
Omega-3 Deluxe Mix,Nuts and seeds
Dip Mix,Dips
BLT Dip Mix,Dips
Animal Peanuts,Nuts and seeds
Reese's Puffs Cereal,"Ready-to-eat cereal, higher sugar (>21.2g/100g)"
Sunflower Seeds Variety Pack,Nuts and seeds
Strawberry Wafers,Cookies and brownies
Mediterranean Dip Mix,Dips
Party Dip Mix,Dips
Superseed Mix,Nuts and seeds
Habanero Pepper Salsa,Dips
Non-Dairy Dip,Dips
Chipotle Cheddar Dip Mix,Dips
Super Extra-Large Peanuts,Nuts and seeds
Garlic Salsa,Dips
Antioxidant Mix,Nuts and seeds
Salsa Corn Sticks,"Tortilla, corn, other chips"
Black Bean & Corn Salsa,Dips
Chocolate Wafers,Cookies and brownies
Nacho Cheese Sauce Mix,Dips
Pumpkin Seed Protein Powder,Protein and nutritional powders
Roasted Reaper Salsa,Dips
Almond Pecan Crunch,Nuts and seeds
Skinless Peanuts,Nuts and seeds
Chocolate Chunk Muffin Mix,"Biscuits, muffins, quick breads"
Tzatziki Sauce,Dips
Onion Flavored Dip,Dips
Chile Con Queso,Dips
Vanilla Bean Mix,Other sauces
Cilantro Dip,Dips
Canelitas Cookies,Cookies and brownies
Chip Salsa,Dips
Toaster Pastries,Turnovers and other grain-based items
Queso Extreme,Cheese
Peach Roses,Other fruits and fruit salads
Spinach and Artichoke Dipping Sauce,Dips
Jalapeno & Cheddar Dip,Dips
Maple Nut Peanuts,Nuts and seeds
Everything Seasoned Cashews,Nuts and seeds
Buffalo Ranch Dip,Dips
Cheddar Bunnies,"Crackers, excludes saltines"
Marie Gold Cookies,Cookies and brownies
Horseradish Cheese Spread,Cheese
"French Burnt Peanuts, Red Candy Spanish Peanuts",Nuts and seeds
Pineapple Mango Salsa,Dips
Hot Red Salsa,"Pasta sauces, tomato-based"
Salsa Dip,Dips
Japanese Peanuts,Nuts and seeds
Cheeseburger Sunflower Seeds,Nuts and seeds
Organic Almonds,Nuts and seeds
Salsa Combo,Other sauces
Cashew Pieces,Nuts and seeds
Chiltepin,Spices
Hot Chipotle Salsa,Dips
Unsalted Nut Blend,Nuts and seeds
Orange Roses,Other fruits and fruit salads
Maple Glazed Pecan Nut Pieces,Nuts and seeds
Bar-B-Que Sunflower Seeds,Nuts and seeds
Choco Chips Cookies,Cookies and brownies
Hazelnut Wafer Cookie,Cookies and brownies
Wafer Snack,Cookies and brownies
Balsamic Vinegar Reduction,Salad dressings
Vinegar,Salad dressings
Vinegar Sauce,Other sauces
Vinegar-Soy Sauce,Soy-based condiments
Balsamic Vinaigrette Dressing,Salad dressings
Soba Noodles,Noodles
Apple Cider Vinegar Tonic,Other diet drinks
Strawberry Balsamic Vinegar,Salad dressings
Lemon Infused Balsamic Vinegar,Salad dressings
Fig Infused Balsamic Vinegar,Salad dressings
Apple Cider Vinegar Refreshers,Other diet drinks
Raspberry Balsamic Vinegar,Salad dressings
